"Time"	"1 nw-801"
-1.000000	1
-0.980000	0
-0.960000	1
-0.940000	1
-0.920000	2
-0.900000	0
-0.880000	0
-0.860000	2
-0.840000	0
-0.820000	2
-0.800000	0
-0.780000	2
-0.760000	2
-0.740000	0
-0.720000	2
-0.700000	2
-0.680000	0
-0.660000	1
-0.640000	2
-0.620000	0
-0.600000	2
-0.580000	0
-0.560000	1
-0.540000	1
-0.520000	0
-0.500000	2
-0.480000	0
-0.460000	2
-0.440000	0
-0.420000	2
-0.400000	0
-0.380000	0
-0.360000	5
-0.340000	0
-0.320000	0
-0.300000	2
-0.280000	0
-0.260000	2
-0.240000	2
-0.220000	0
-0.200000	0
-0.180000	2
-0.160000	0
-0.140000	0
-0.120000	2
-0.100000	0
-0.080000	3
-0.060000	0
-0.040000	1
-0.020000	1
0.000000	0
0.020000	6
0.040000	6
0.060000	6
0.080000	5
0.100000	3
0.120000	4
0.140000	2
0.160000	3
0.180000	3
0.200000	2
0.220000	2
0.240000	2
0.260000	2
0.280000	2
0.300000	2
0.320000	2
0.340000	1
0.360000	2
0.380000	1
0.400000	2
0.420000	1
0.440000	2
0.460000	1
0.480000	2
0.500000	1
0.520000	2
0.540000	1
0.560000	1
0.580000	3
0.600000	1
0.620000	1
0.640000	2
0.660000	1
0.680000	1
0.700000	3
0.720000	1
0.740000	1
0.760000	2
0.780000	1
0.800000	3
0.820000	1
0.840000	1
0.860000	1
0.880000	2
0.900000	1
0.920000	1
0.940000	3
0.960000	2
0.980000	1
1.000000	2
1.020000	2
1.040000	1
1.060000	1
1.080000	1
1.100000	1
1.120000	2
1.140000	2
1.160000	2
1.180000	1
1.200000	0
1.220000	1
1.240000	1
1.260000	3
1.280000	0
1.300000	2
1.320000	1
1.340000	0
1.360000	2
1.380000	1
1.400000	1
1.420000	2
1.440000	1
1.460000	2
1.480000	2
1.500000	2
1.520000	1
1.540000	2
1.560000	2
1.580000	1
1.600000	2
1.620000	1
1.640000	2
1.660000	1
1.680000	1
1.700000	2
1.720000	0
1.740000	2
1.760000	1
1.780000	2
1.800000	2
1.820000	2
1.840000	1
1.860000	0
1.880000	2
1.900000	1
1.920000	2
1.940000	1
1.960000	2
1.980000	2
2.000000	2
2.020000	1
2.040000	0
2.060000	2
2.080000	2
2.100000	2
2.120000	2
2.140000	2
2.160000	2
2.180000	0
2.200000	2
2.220000	2
2.240000	1
2.260000	2
2.280000	1
2.300000	2
2.320000	0
2.340000	3
2.360000	0
2.380000	4
2.400000	0
2.420000	2
2.440000	2
2.460000	2
2.480000	2
2.500000	2
2.520000	2
2.540000	1
2.560000	1
2.580000	2
2.600000	1
2.620000	2
2.640000	2
2.660000	2
2.680000	2
2.700000	2
2.720000	2
2.740000	0
2.760000	2
2.780000	3
2.800000	1
2.820000	2
2.840000	2
2.860000	2
2.880000	2
2.900000	0
2.920000	0
2.940000	2
2.960000	2
2.980000	2
3.000000	0
3.020000	2
3.040000	2
3.060000	2
3.080000	2
3.100000	0
3.120000	2
3.140000	2
3.160000	2
3.180000	2
3.200000	2
3.220000	2
3.240000	2
3.260000	0
3.280000	2
3.300000	2
3.320000	2
3.340000	1
3.360000	3
3.380000	1
3.400000	2
3.420000	2
3.440000	2
3.460000	0
3.480000	2
3.500000	2
3.520000	2
3.540000	2
3.560000	2
3.580000	2
3.600000	0
3.620000	2
3.640000	2
3.660000	2
3.680000	2
3.700000	2
3.720000	0
3.740000	2
3.760000	2
3.780000	2
3.800000	0
3.820000	2
3.840000	2
3.860000	0
3.880000	2
3.900000	2
3.920000	1
3.940000	1
3.960000	2
3.980000	2
4.000000	2
4.020000	1
4.040000	2
4.060000	0
4.080000	2
4.100000	2
4.120000	2
4.140000	1
4.160000	1
4.180000	2
4.200000	2
4.220000	2
4.240000	2
4.260000	0
4.280000	2
4.300000	2
4.320000	2
4.340000	2
4.360000	2
4.380000	2
4.400000	2
4.420000	0
4.440000	2
4.460000	2
4.480000	0
4.500000	2
4.520000	2
4.540000	0
4.560000	2
4.580000	2
4.600000	2
4.620000	2
4.640000	0
4.660000	2
4.680000	2
4.700000	0
4.720000	2
4.740000	2
4.760000	2
4.780000	0
4.800000	2
4.820000	2
4.840000	0
4.860000	2
4.880000	2
4.900000	2
4.920000	0
4.940000	2
4.960000	2
4.980000	1
5.000000	1
5.020000	2
5.040000	2
5.060000	2
5.080000	0
5.100000	2
5.120000	2
5.140000	2
5.160000	1
5.180000	1
5.200000	2
5.220000	2
5.240000	2
5.260000	0
5.280000	2
5.300000	2
5.320000	0
5.340000	1
5.360000	1
5.380000	2
5.400000	2
5.420000	0
5.440000	2
5.460000	2
5.480000	2
5.500000	1
5.520000	1
5.540000	3
5.560000	1
5.580000	2
5.600000	2
5.620000	0
5.640000	2
5.660000	0
5.680000	2
5.700000	2
5.720000	2
5.740000	2
5.760000	0
5.780000	2
5.800000	1
5.820000	3
5.840000	0
5.860000	2
5.880000	2
5.900000	1
5.920000	3
5.940000	0
5.960000	4
5.980000	0
6.000000	2
6.020000	2
6.040000	0
6.060000	2
6.080000	2
6.100000	1
6.120000	1
6.140000	2
6.160000	2
6.180000	0
6.200000	2
6.220000	3
6.240000	1
6.260000	2
6.280000	4
6.300000	0
6.320000	2
6.340000	2
6.360000	0
6.380000	2
6.400000	2
6.420000	2
6.440000	1
6.460000	1
6.480000	2
6.500000	2
6.520000	0
6.540000	4
6.560000	0
6.580000	2
6.600000	2
6.620000	2
6.640000	0
6.660000	2
6.680000	4
6.700000	0
6.720000	2
6.740000	2
6.760000	2
6.780000	2
6.800000	2
6.820000	2
6.840000	2
6.860000	1
6.880000	1
6.900000	2
6.920000	2
6.940000	0
6.960000	2
6.980000	2
7.000000	2
7.020000	0
7.040000	2
7.060000	2
7.080000	0
7.100000	0
7.120000	2
7.140000	2
7.160000	2
7.180000	2
7.200000	2
7.220000	2
7.240000	0
7.260000	2
7.280000	2
7.300000	2
7.320000	0
7.340000	5
7.360000	0
7.380000	2
7.400000	0
7.420000	2
7.440000	2
7.460000	2
7.480000	0
7.500000	2
7.520000	2
7.540000	2
7.560000	2
7.580000	0
7.600000	2
7.620000	2
7.640000	0
7.660000	2
7.680000	0
7.700000	1
7.720000	1
7.740000	2
7.760000	2
7.780000	0
7.800000	2
7.820000	2
7.840000	2
7.860000	0
7.880000	2
7.900000	2
7.920000	1
7.940000	1
7.960000	2
7.980000	2
8.000000	2
8.020000	0
8.040000	2
8.060000	2
8.080000	0
8.100000	2
8.120000	2
8.140000	0
8.160000	2
8.180000	2
8.200000	0
8.220000	2
8.240000	2
8.260000	1
8.280000	1
8.300000	2
8.320000	2
8.340000	2
8.360000	0
8.380000	2
8.400000	2
8.420000	2
8.440000	1
8.460000	1
8.480000	2
8.500000	0
8.520000	2
8.540000	2
8.560000	2
8.580000	2
8.600000	0
8.620000	2
8.640000	0
8.660000	2
8.680000	3
8.700000	1
8.720000	4
8.740000	0
8.760000	2
8.780000	2
8.800000	0
8.820000	2
8.840000	2
8.860000	2
8.880000	2
