"Time"	"1 untitled"
-0.200000	0
-0.180000	2
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	1
-0.060000	1
-0.040000	0
-0.020000	0
0.000000	1
0.020000	3
0.040000	4
0.060000	6
0.080000	8
0.100000	8
0.120000	10
0.140000	11
0.160000	10
0.180000	5
0.200000	4
0.220000	7
0.240000	5
0.260000	6
0.280000	4
0.300000	6
0.320000	3
0.340000	6
0.360000	4
0.380000	5
0.400000	6
0.420000	3
0.440000	6
0.460000	4
0.480000	3
0.500000	5
0.520000	4
0.540000	4
0.560000	5
0.580000	4
0.600000	4
0.620000	4
0.640000	4
0.660000	3
0.680000	6
0.700000	3
0.720000	3
0.740000	3
0.760000	6
0.780000	3
0.800000	5
0.820000	4
0.840000	3
0.860000	4
0.880000	3
0.900000	4
0.920000	4
0.940000	3
0.960000	4
0.980000	4
1.000000	3
1.020000	4
1.040000	3
1.060000	3
1.080000	6
1.100000	4
1.120000	3
1.140000	3
1.160000	2
1.180000	0
1.200000	0
1.220000	1
1.240000	0
1.260000	0
1.280000	0
1.300000	0
