"Time"	"1 untitled"
-0.200000	2
-0.180000	3
-0.160000	4
-0.140000	0
-0.120000	1
-0.100000	0
-0.080000	3
-0.060000	3
-0.040000	1
-0.020000	2
0.000000	3
0.020000	2
0.040000	1
0.060000	2
0.080000	1
0.100000	2
0.120000	3
0.140000	4
0.160000	3
0.180000	3
0.200000	1
0.220000	1
0.240000	3
0.260000	2
0.280000	2
0.300000	2
0.320000	5
0.340000	3
0.360000	3
0.380000	2
0.400000	3
0.420000	1
0.440000	3
0.460000	2
0.480000	2
0.500000	3
0.520000	4
0.540000	3
0.560000	3
0.580000	1
0.600000	2
0.620000	3
0.640000	4
0.660000	1
0.680000	1
0.700000	1
0.720000	4
0.740000	2
0.760000	4
0.780000	2
0.800000	1
0.820000	1
0.840000	2
0.860000	2
0.880000	3
0.900000	4
0.920000	3
0.940000	3
0.960000	2
0.980000	1
1.000000	2
1.020000	1
1.040000	0
1.060000	3
1.080000	0
1.100000	4
1.120000	2
1.140000	3
1.160000	1
1.180000	0
1.200000	2
1.220000	2
1.240000	2
1.260000	3
1.280000	0
1.300000	1
