"Time"	"1 nw-1"
-0.200000	4
-0.180000	3
-0.160000	5
-0.140000	4
-0.120000	5
-0.100000	6
-0.080000	4
-0.060000	4
-0.040000	6
-0.020000	3
0.000000	4
0.020000	17
0.040000	17
0.060000	20
0.080000	21
0.100000	24
0.120000	27
0.140000	26
0.160000	24
0.180000	15
0.200000	16
0.220000	14
0.240000	16
0.260000	15
0.280000	15
0.300000	15
0.320000	14
0.340000	14
0.360000	13
0.380000	14
0.400000	14
0.420000	13
0.440000	15
0.460000	12
0.480000	14
0.500000	13
0.520000	14
0.540000	12
0.560000	13
0.580000	13
0.600000	12
0.620000	13
0.640000	14
0.660000	11
0.680000	14
0.700000	14
0.720000	13
0.740000	12
0.760000	13
0.780000	13
0.800000	13
0.820000	13
0.840000	12
0.860000	13
0.880000	13
0.900000	13
0.920000	13
0.940000	13
0.960000	13
0.980000	12
1.000000	13
1.020000	12
1.040000	13
1.060000	13
1.080000	13
1.100000	11
1.120000	12
1.140000	14
1.160000	11
1.180000	7
1.200000	5
1.220000	3
1.240000	3
1.260000	2
1.280000	1
1.300000	0
