"Time"	"1 untitled"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	6
0.040000	9
0.060000	9
0.080000	11
0.100000	10
0.120000	12
0.140000	12
0.160000	10
0.180000	7
0.200000	8
0.220000	7
0.240000	8
0.260000	7
0.280000	9
0.300000	6
0.320000	6
0.340000	9
0.360000	6
0.380000	8
0.400000	7
0.420000	6
0.440000	8
0.460000	7
0.480000	6
0.500000	8
0.520000	7
0.540000	6
0.560000	7
0.580000	7
0.600000	7
0.620000	6
0.640000	6
0.660000	8
0.680000	7
0.700000	6
0.720000	6
0.740000	8
0.760000	6
0.780000	7
0.800000	6
0.820000	6
0.840000	6
0.860000	8
0.880000	7
0.900000	6
0.920000	6
0.940000	8
0.960000	6
0.980000	7
1.000000	6
1.020000	7
1.040000	7
1.060000	6
1.080000	7
1.100000	6
1.120000	7
1.140000	6
1.160000	6
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
