"Time"	"1 Memory"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	1
-0.040000	0
-0.020000	0
0.000000	0
0.020000	11
0.040000	10
0.060000	13
0.080000	15
0.100000	18
0.120000	17
0.140000	18
0.160000	19
0.180000	13
0.200000	13
0.220000	11
0.240000	13
0.260000	11
0.280000	11
0.300000	12
0.320000	11
0.340000	11
0.360000	11
0.380000	11
0.400000	11
0.420000	10
0.440000	10
0.460000	13
0.480000	11
0.500000	11
0.520000	11
0.540000	9
0.560000	9
0.580000	13
0.600000	9
0.620000	9
0.640000	9
0.660000	10
0.680000	10
0.700000	9
0.720000	10
0.740000	9
0.760000	9
0.780000	9
0.800000	9
0.820000	9
0.840000	11
0.860000	9
0.880000	10
0.900000	9
0.920000	10
0.940000	9
0.960000	8
0.980000	11
1.000000	8
1.020000	10
1.040000	10
1.060000	8
1.080000	10
1.100000	9
1.120000	8
1.140000	9
1.160000	8
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	1
1.280000	0
1.300000	0
