"Time"	"1 nw-401"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
-0.000000	0
0.020000	4
0.040000	4
0.060000	4
0.080000	4
0.100000	4
0.120000	4
0.140000	8
0.160000	4
0.180000	4
0.200000	5
0.220000	4
0.240000	5
0.260000	4
0.280000	6
0.300000	4
0.320000	4
0.340000	4
0.360000	5
0.380000	4
0.400000	4
0.420000	4
0.440000	4
0.460000	4
0.480000	4
0.500000	4
0.520000	4
0.540000	4
0.560000	4
0.580000	3
0.600000	4
0.620000	4
0.640000	4
0.660000	3
0.680000	4
0.700000	3
0.720000	3
0.740000	4
0.760000	4
0.780000	4
0.800000	4
0.820000	4
0.840000	4
0.860000	3
0.880000	4
0.900000	4
0.920000	3
0.940000	4
0.960000	4
0.980000	3
1.000000	3
1.020000	4
1.040000	3
1.060000	4
1.080000	3
1.100000	4
1.120000	4
1.140000	3
1.160000	4
1.180000	1
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
