"Time"	"1 nw-401"
-0.200000	2
-0.180000	0
-0.160000	0
-0.140000	3
-0.120000	0
-0.100000	0
-0.080000	2
-0.060000	1
-0.040000	0
-0.020000	0
0.000000	2
0.020000	4
0.040000	5
0.060000	6
0.080000	8
0.100000	9
0.120000	9
0.140000	9
0.160000	10
0.180000	9
0.200000	8
0.220000	9
0.240000	6
0.260000	5
0.280000	6
0.300000	4
0.320000	7
0.340000	5
0.360000	5
0.380000	6
0.400000	6
0.420000	5
0.440000	4
0.460000	5
0.480000	5
0.500000	7
0.520000	6
0.540000	7
0.560000	6
0.580000	6
0.600000	4
0.620000	6
0.640000	6
0.660000	6
0.680000	5
0.700000	6
0.720000	4
0.740000	6
0.760000	5
0.780000	5
0.800000	5
0.820000	6
0.840000	6
0.860000	3
0.880000	6
0.900000	6
0.920000	4
0.940000	5
0.960000	5
0.980000	5
1.000000	5
1.020000	5
1.040000	4
1.060000	5
1.080000	6
1.100000	3
1.120000	6
1.140000	4
1.160000	5
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
