"Time"	"1 nw-402"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	9
0.040000	6
0.060000	6
0.080000	6
0.100000	9
0.120000	9
0.140000	11
0.160000	7
0.180000	6
0.200000	5
0.220000	4
0.240000	5
0.260000	4
0.280000	3
0.300000	5
0.320000	4
0.340000	3
0.360000	3
0.380000	4
0.400000	4
0.420000	3
0.440000	3
0.460000	3
0.480000	3
0.500000	3
0.520000	3
0.540000	3
0.560000	2
0.580000	2
0.600000	3
0.620000	2
0.640000	3
0.660000	1
0.680000	2
0.700000	2
0.720000	2
0.740000	1
0.760000	2
0.780000	1
0.800000	2
0.820000	0
0.840000	2
0.860000	2
0.880000	0
0.900000	0
0.920000	1
0.940000	1
0.960000	1
0.980000	0
1.000000	0
1.020000	1
1.040000	0
1.060000	1
1.080000	0
1.100000	0
1.120000	0
1.140000	0
1.160000	0
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
